Date,Prov2,Confirmed,New,dayserial
2020-03-06,AB,1,1,d0
2020-03-07,AB,2,1,d1
2020-03-08,AB,4,2,d2
2020-03-09,AB,7,3,d3
2020-03-10,AB,7,0,d4
2020-03-11,AB,19,12,d5
2020-03-12,AB,19,0,d6
2020-03-13,AB,29,10,d7
2020-03-14,AB,29,0,d8
2020-03-15,AB,39,10,d9
2020-03-16,AB,56,17,d10
2020-03-17,AB,74,18,d11
2020-03-18,AB,97,23,d12
2020-01-28,BC,1,1,d0
2020-01-29,BC,1,0,d1
2020-01-30,BC,1,0,d2
2020-01-31,BC,1,0,d3
2020-02-01,BC,1,0,d4
2020-02-02,BC,1,0,d5
2020-02-03,BC,1,0,d6
2020-02-04,BC,1,0,d7
2020-02-05,BC,1,0,d8
2020-02-06,BC,2,1,d9
2020-02-07,BC,4,2,d10
2020-02-08,BC,4,0,d11
2020-02-09,BC,4,0,d12
2020-02-10,BC,4,0,d13
2020-02-11,BC,4,0,d14
2020-02-12,BC,4,0,d15
2020-02-13,BC,4,0,d16
2020-02-14,BC,4,0,d17
2020-02-15,BC,4,0,d18
2020-02-16,BC,4,0,d19
2020-02-17,BC,5,1,d20
2020-02-18,BC,5,0,d21
2020-02-19,BC,5,0,d22
2020-02-20,BC,5,0,d23
2020-02-21,BC,6,1,d24
2020-02-22,BC,6,0,d25
2020-02-23,BC,6,0,d26
2020-02-24,BC,6,0,d27
2020-02-25,BC,7,1,d28
2020-02-26,BC,7,0,d29
2020-02-27,BC,7,0,d30
2020-02-28,BC,7,0,d31
2020-02-29,BC,8,1,d32
2020-03-01,BC,8,0,d33
2020-03-02,BC,8,0,d34
2020-03-03,BC,9,1,d35
2020-03-04,BC,12,3,d36
2020-03-05,BC,13,1,d37
2020-03-06,BC,21,8,d38
2020-03-07,BC,21,0,d39
2020-03-08,BC,27,6,d40
2020-03-09,BC,32,5,d41
2020-03-10,BC,32,0,d42
2020-03-11,BC,39,7,d43
2020-03-12,BC,46,7,d44
2020-03-13,BC,64,18,d45
2020-03-14,BC,64,0,d46
2020-03-15,BC,73,9,d47
2020-03-16,BC,103,30,d48
2020-03-17,BC,103,0,d49
2020-03-18,BC,186,83,d50
2020-01-21,HB,270,270,d0
2020-01-22,HB,444,174,d1
2020-01-23,HB,444,,d2
2020-01-24,HB,549,105,d3
2020-01-25,HB,1052,503,d4
2020-01-26,HB,1423,371,d5
2020-01-27,HB,2714,1291,d6
2020-01-28,HB,3554,840,d7
2020-01-29,HB,4586,1032,d8
2020-01-30,HB,5806,1220,d9
2020-01-31,HB,7153,1347,d10
2020-02-01,HB,9074,1921,d11
2020-02-02,HB,11177,2103,d12
2020-02-03,HB,13522,2345,d13
2020-02-04,HB,16678,3156,d14
2020-02-05,HB,16678,,d15
2020-02-06,HB,22112,5434,d16
2020-02-07,HB,22112,,d17
2020-02-08,HB,27100,4988,d18
2020-02-09,HB,29631,2531,d19
2020-02-10,HB,31728,2097,d20
2020-02-11,HB,33366,1638,d21
2020-02-12,HB,48206,,d22
2020-02-13,HB,51986,3780,d23
2020-02-14,HB,54406,2420,d24
2020-02-15,HB,56249,1843,d25
2020-02-16,HB,58182,1933,d26
2020-02-17,HB,59989,1807,d27
2020-02-18,HB,61682,1693,d28
2020-02-19,HB,62031,349,d29
2020-02-20,HB,62442,411,d30
2020-02-21,HB,62662,220,d31
2020-02-22,HB,64084,1422,d32
2020-02-23,HB,64084,,d33
2020-02-24,HB,64287,203,d34
2020-02-25,HB,64786,499,d35
2020-02-26,HB,65187,401,d36
2020-02-27,HB,65596,409,d37
2020-02-28,HB,65914,318,d38
2020-02-29,HB,66337,423,d39
2020-03-01,HB,66907,570,d40
2020-03-02,HB,67103,196,d41
2020-03-03,HB,67217,114,d42
2020-03-04,HB,67332,115,d43
2020-03-05,HB,67466,134,d44
2020-03-06,HB,67592,126,d45
2020-03-07,HB,67666,74,d46
2020-03-08,HB,67707,41,d47
2020-03-09,HB,67743,36,d48
2020-03-10,HB,67760,17,d49
2020-03-11,HB,67773,13,d50
2020-03-12,HB,67781,8,d51
2020-03-13,HB,67786,5,d52
2020-03-14,HB,67790,4,d53
2020-03-15,HB,67794,4,d54
2020-03-16,HB,67798,4,d55
2020-03-17,HB,67799,1,d56
2020-03-18,HB,67800,1,d57
2020-03-13,MB,4,4,d0
2020-03-14,MB,4,0,d1
2020-03-15,MB,4,0,d2
2020-03-16,MB,7,3,d3
2020-03-17,MB,8,1,d4
2020-03-18,MB,15,7,d5
2020-03-11,NB,1,1,d0
2020-03-12,NB,1,0,d1
2020-03-13,NB,1,0,d2
2020-03-14,NB,1,0,d3
