Province,Country_region,Datetime,Confirmed,Suspect,Recovered,Death,Longitude,Latitude,Date,Popluation,Province2,Day0,Dayserial
Shanghai,Mainland China,2020-01-21 0:00,9,10,0,0,31.2304,121.4737,2020-01-21,,,,
Yunnan,Mainland China,2020-01-21 0:00,1,0,0,0,24.8801,102.8329,2020-01-21,,,,
Beijing,Mainland China,2020-01-21 0:00,10,0,0,0,39.9042,116.4074,2020-01-21,,,,
Taiwan,Taiwan,2020-01-21 0:00,1,0,0,0,25.033,121.5654,2020-01-21,,,,
Jilin,Mainland China,2020-01-21 0:00,0,1,0,0,43.8171,125.3235,2020-01-21,,,,
Sichuan,Mainland China,2020-01-21 0:00,2,1,0,0,30.5728,104.0668,2020-01-21,,,,
Tianjin,Mainland China,2020-01-21 0:00,2,0,0,0,39.3434,117.3616,2020-01-21,,,,
Ningxia,Mainland China,2020-01-21 0:00,0,1,0,0,38.4872,106.2309,2020-01-21,,,,
Anhui,Mainland China,2020-01-21 0:00,0,3,0,0,31.8206,117.2272,2020-01-21,,,,
Shandong,Mainland China,2020-01-21 0:00,1,0,0,0,36.6512,117.1201,2020-01-21,,,,
Guangdong,Mainland China,2020-01-21 0:00,17,4,0,0,23.1291,113.2644,2020-01-21,,,,
Guangxi,Mainland China,2020-01-21 0:00,0,1,0,0,22.817,108.3665,2020-01-21,,,,
Jiangxi,Mainland China,2020-01-21 0:00,2,0,0,0,28.6829,115.8582,2020-01-21,,,,
Henan,Mainland China,2020-01-21 0:00,1,0,0,0,34.7466,113.6253,2020-01-21,,,,
Zhejiang,Mainland China,2020-01-21 0:00,5,16,0,0,30.2741,120.1551,2020-01-21,,,,
Hainan,Mainland China,2020-01-21 0:00,0,1,0,0,20.0444,110.1983,2020-01-21,,,,
Hubei,Mainland China,2020-01-21 0:00,270,11,0,0,30.5928,114.3055,2020-01-21,59000000,HB,2020-01-21,d0
Hunan,Mainland China,2020-01-21 0:00,1,0,0,0,28.2282,112.9388,2020-01-21,,,,
Guizhou,Mainland China,2020-01-21 0:00,0,1,0,0,26.6477,106.6302,2020-01-21,,,,
Liaoning,Mainland China,2020-01-21 0:00,0,1,0,0,41.8057,123.4315,2020-01-21,,,,
Chongqing,Mainland China,2020-01-21 0:00,5,0,0,0,29.4316,106.9123,2020-01-21,,,,
Hong Kong,Hong Kong,2020-01-21 0:00,0,117,0,0,22.3193,114.1694,2020-01-21,,,,
Heilongjiang,Mainland China,2020-01-21 0:00,0,1,0,0,45.8038,126.535,2020-01-21,,,,
Tokyo,Japan,2020-01-21 0:00,1,0,0,0,35.6762,139.6503,2020-01-21,,,,
Bankok,Thailand,2020-01-21 0:00,2,0,0,0,13.7563,100.5018,2020-01-21,,,,
Seoul,South Korea,2020-01-21 0:00,1,0,0,0,37.5665,126.978,2020-01-21,"51,269,185",SE,2020-01-21,d0
Washington,US,2020-01-21 0:00,1,0,0,0,47.7511,-120.74,2020-01-21,,,,
Anhui,Mainland China,2020-01-22 12:00,1,4,0,0,31.8206,117.2272,2020-01-22,,,,
Beijing,Mainland China,2020-01-22 12:00,14,0,0,0,39.9042,116.4074,2020-01-22,,,,
Chongqing,Mainland China,2020-01-22 12:00,6,0,0,0,29.4316,106.9123,2020-01-22,,,,
Fujian,Mainland China,2020-01-22 12:00,1,0,0,0,26.0745,119.2965,2020-01-22,,,,
Gansu,Mainland China,2020-01-22 12:00,0,0,0,0,36.0611,103.8343,2020-01-22,,,,
Guangdong,Mainland China,2020-01-22 12:00,26,1,0,0,23.1291,113.2644,2020-01-22,,,,
Guangxi,Mainland China,2020-01-22 12:00,2,1,0,0,22.817,108.3665,2020-01-22,,,,
Guizhou,Mainland China,2020-01-22 12:00,1,0,0,0,26.6477,106.6302,2020-01-22,,,,
Hainan,Mainland China,2020-01-22 12:00,4,0,0,0,20.0444,110.1983,2020-01-22,,,,
Hebei,Mainland China,2020-01-22 12:00,1,0,0,0,38.0428,114.5149,2020-01-22,,,,
Heilongjiang,Mainland China,2020-01-22 12:00,0,1,0,0,45.8038,126.535,2020-01-22,,,,
Henan,Mainland China,2020-01-22 12:00,5,0,0,0,34.7466,113.6253,2020-01-22,,,,
Hong Kong,Hong Kong,2020-01-22 12:00,0,117,0,0,22.3193,114.1694,2020-01-22,,,,
Hubei,Mainland China,2020-01-22 12:00,444,0,0,0,30.5928,114.3055,2020-01-22,59000000,HB,2020-01-21,d1
Hunan,Mainland China,2020-01-22 12:00,4,0,0,0,28.2282,112.9388,2020-01-22,,,,
Inner Mongolia,Mainland China,2020-01-22 12:00,0,0,0,0,40.8424,111.75,2020-01-22,,,,
Jiangsu,Mainland China,2020-01-22 12:00,1,0,0,0,32.0603,118.7969,2020-01-22,,,,
Jiangxi,Mainland China,2020-01-22 12:00,2,0,0,0,28.6829,115.8582,2020-01-22,,,,
Jilin,Mainland China,2020-01-22 12:00,0,1,0,0,43.8171,125.3235,2020-01-22,,,,
Liaoning,Mainland China,2020-01-22 12:00,2,0,0,0,41.8057,123.4315,2020-01-22,,,,
Macau,Macau,2020-01-22 12:00,1,0,0,0,22.1987,113.5439,2020-01-22,,,,
Ningxia,Mainland China,2020-01-22 12:00,1,0,0,0,38.4872,106.2309,2020-01-22,,,,
Qinghai,Mainland China,2020-01-22 12:00,0,0,0,0,36.6171,101.7782,2020-01-22,,,,
Shaanxi,Mainland China,2020-01-22 12:00,0,0,0,0,34.3416,108.9398,2020-01-22,,,,
Shandong,Mainland China,2020-01-22 12:00,2,0,0,0,36.6512,117.1201,2020-01-22,,,,
Shanghai,Mainland China,2020-01-22 12:00,9,10,0,0,31.2304,121.4737,2020-01-22,,,,
Shanxi,Mainland China,2020-01-22 12:00,1,0,0,0,37.8706,112.5489,2020-01-22,,,,
Sichuan,Mainland China,2020-01-22 12:00,5,2,0,0,30.5728,104.0668,2020-01-22,,,,
Taiwan,Taiwan,2020-01-22 12:00,1,0,0,0,25.033,121.5654,2020-01-22,,,,
Tianjin,Mainland China,2020-01-22 12:00,4,0,0,0,39.3434,117.3616,2020-01-22,,,,
Tibet,Mainland China,2020-01-22 12:00,0,0,0,0,29.6548,91.1406,2020-01-22,,,,
Washington,US,2020-01-22 12:00,1,0,0,0,47.7511,-120.74,2020-01-22,,,,
Xinjiang,Mainland China,2020-01-22 12:00,0,0,0,0,43.8256,87.6168,2020-01-22,,,,
Yunnan,Mainland China,2020-01-22 12:00,1,0,0,0,24.8801,102.8329,2020-01-22,,,,
Zhejiang,Mainland China,2020-01-22 12:00,10,0,0,0,30.2741,120.1551,2020-01-22,,,,
Tokyo,Japan,2020-01-22 12:00,2,0,0,0,35.6762,139.6503,2020-01-22,,,,
Bankok,Thailand,2020-01-22 12:00,2,0,0,0,13.7563,100.5018,2020-01-22,,,,
Seoul,South Korea,2020-01-22 12:00,1,0,0,0,37.5665,126.978,2020-01-22,"51,269,185",SE,2020-01-21,d1
Anhui,Mainland China,2020-01-23 12:00,9,4,0,0,31.8206,117.2272,2020-01-23,,,,
Beijing,Mainland China,2020-01-23 12:00,22,0,0,0,39.9042,116.4074,2020-01-23,,,,
Chongqing,Mainland China,2020-01-23 12:00,9,0,0,0,29.4316,106.9123,2020-01-23,,,,
Fujian,Mainland China,2020-01-23 12:00,5,2,0,0,26.0745,119.2965,2020-01-23,,,,
Gansu,Mainland China,2020-01-23 12:00,2,0,0,0,36.0611,103.8343,2020-01-23,,,,
Guangdong,Mainland China,2020-01-23 12:00,32,1,2,0,23.1291,113.2644,2020-01-23,,,,
Guangxi,Mainland China,2020-01-23 12:00,5,0,0,0,22.817,108.3665,2020-01-23,,,,
Guizhou,Mainland China,2020-01-23 12:00,3,0,0,0,26.6477,106.6302,2020-01-23,,,,
Hainan,Mainland China,2020-01-23 12:00,5,32,0,0,20.0444,110.1983,2020-01-23,,,,
Hebei,Mainland China,2020-01-23 12:00,1,0,0,1,38.0428,114.5149,2020-01-23,,,,
Heilongjiang,Mainland China,2020-01-23 12:00,2,0,0,0,45.8038,126.535,2020-01-23,,,,
Henan,Mainland China,2020-01-23 12:00,5,0,0,0,34.7466,113.6253,2020-01-23,,,,
Hong Kong,Hong Kong,2020-01-23 12:00,2,65,0,0,22.3193,114.1694,2020-01-23,,,,
Hubei,Mainland China,2020-01-23 12:00,444,0,28,17,30.5928,114.3055,2020-01-23,59000000,HB,2020-01-21,d2
Hunan,Mainland China,2020-01-23 12:00,9,0,0,0,28.2282,112.9388,2020-01-23,,,,
Inner Mongolia,Mainland China,2020-01-23 12:00,0,1,0,0,40.8424,111.75,2020-01-23,,,,
Jiangsu,Mainland China,2020-01-23 12:00,5,0,0,0,32.0603,118.7969,2020-01-23,,,,
Jiangxi,Mainland China,2020-01-23 12:00,7,0,0,0,28.6829,115.8582,2020-01-23,,,,
Jilin,Mainland China,2020-01-23 12:00,1,0,0,0,43.8171,125.3235,2020-01-23,,,,
Liaoning,Mainland China,2020-01-23 12:00,3,0,0,0,41.8057,123.4315,2020-01-23,,,,
Macau,Macau,2020-01-23 12:00,2,0,0,0,22.1987,113.5439,2020-01-23,,,,
Ningxia,Mainland China,2020-01-23 12:00,1,0,0,0,38.4872,106.2309,2020-01-23,,,,
Qinghai,Mainland China,2020-01-23 12:00,0,0,0,0,36.6171,101.7782,2020-01-23,,,,
