"Country ","Cumulative number of case(s)  ","Number of new cases since last 
  WHO update  ","
  Final Status  ","
  Local chain(s) of transmission 3  "
"Number of deaths","Number recovered","undefined","undefined","undefined"
"Brazil ","
     2"," 1","0"," 0"
"Canada "," 
     97"," 3","10"," 22"
"China ","
     1290"," 10","55"," 1025"
"China, Hong Kong Special Administrative Region
    4","  998"," 28","30"," 154"
"China, Taiwan","  19"," 0","0"," 5"
"France ","  4"," 0","0"," 0"
"Germany ","
     6"," 1","0"," 2"
"Italy "," 3"," 0","0"," 1"
"Kuwait"," 1"," 1","0"," 0"
"Malaysia "," 3"," 2","1"," 0"
"Republic of Ireland "," 1"," 0","0"," 1"
"Romania "," 1"," 0","0"," not available"
"Singapore "," 
     126"," 8","9"," 75"
"Spain "," 1"," 0","0"," 0"
"Switzerland "," 1"," 0","0"," 1"
"Thailand "," 7"," 0","2"," 5"
"United Kingdom "," 5"," 0","0"," 3"
"United States ","
     154"," 5","0"," not 
    available"
"Viet Nam "," 62"," 0","4"," 43"
"Total ","
    2781 ","  59 "," 111","  
    1337 "
