"Country ","Cumulative number of case(s) ","Number of new cases since last WHO update ","Final Status ","Local chain(s) of transmission 3 "
"Number of deaths","Number recovered","undefined","undefined","undefined"
"Brazil "," 2","0","0"," 0"
"Canada "," 101","3","10","26"
"China "," 1309","0","58"," 1037"
"China, Hong Kong Special Administrative Region 4","1108","49","35"," 215"
"China, Taiwan","23"," 2","0"," 7"
"France "," 5","0","0","1"
"Germany "," 6"," 0","0"," 4"
"Italy "," 3"," 0","0","2"
"Japan","4","0","0","0"
"Kuwait"," 1"," 0","0"," 0"
"Malaysia "," 4"," 0","1"," 0"
"Republic of Ireland "," 1"," 0","0"," 1"
"Romania "," 1"," 0","0"," not available"
"Singapore ","147","14","9"," 77"
"South Africa","1","0","0","0"
"Spain "," 1"," 0","0"," 0"
"Switzerland "," 1"," 0","0"," 1"
"Thailand "," 8"," 1","2"," 5"
"United Kingdom "," 6","1","0"," 3"
"United States "," 166","0","0"," not available"
"Viet Nam 5 "," 62"," 0","4"," 46"
"Total ","2960","70","119","1425 "
