"Country ","Cumulative number of case(s) ","Number of new cases since last WHO update ","Final Status ","Local chain(s) of transmission4 "
"Number of deaths","Number recovered3","undefined","undefined","undefined"
"Brazil "," 2","0","0"," 0"
"Canada ","  103"," 3","13"," 37"
"China ","  1432"," 14"," 64"," 1094"
"China, Hong Kong Special Administrative Region 5"," 1268"," 36"," 61"," 257"
"China, Taiwan"," 27","  4","0","  10"
"France "," 5","0","0","1"
" Germany "," 6"," 0","0"," 4"
"Indonesia","  1"," 0","0"," 0"
"Italy "," 3"," 0","0","2"
"Japan"," 1","  0","0"," 0"
"Kuwait"," 1"," 0","0"," 0"
"Malaysia ","  5"," 1","1"," 0"
"Philippines","  1"," 0"," 0"," 1"
"Republic of Ireland "," 1"," 0","0"," 1"
"Romania "," 1"," 0","0","  1"
"Singapore ","162"," 0"," 13"," 85"
"South Africa","1","0","0","0"
"Spain "," 1"," 0","0"," 0"
"Sweden"," 1","  0","0","  0"
"Switzerland "," 1"," 0","0"," 1"
"Thailand "," 8","  0","2"," 5"
"United Kingdom "," 6"," 0","0"," 3"
"United States ","  193"," 0","0"," not available"
"Viet Nam ","  63"," 0"," 5"," 46"
"Total ","  3293","  58","159"," 1548"
