"Country","Cumulative number of case(s)^2","Number of new cases since last WHO update^2","Number of deaths ","Number recovered^3","Date last probable case reported","Date for which cumulative number of cases is current"
"Australia","5","0","0","5","12/May/2003","27/Jun/2003"
"Brazil","1","0","0","1","9/Jun/2003","1/Jul/2003"
"Canada^4","250","0","38","194","9/Jul/2003","10/Jul/2003"
"China^5","5327","0","348","4941","25/Jun/2003","11/Jul/2003"
"China, Hong Kong Special Administrative Region^6","1755","0","298","1433","11/Jun/2003","11/Jul/2003"
"China, Macao Special Administrative Region","1","0","0","1","21/May/2003","10/Jul/2003"
"China, Taiwan ","671","0","84","507","19/Jun/2003","11/Jul/2003"
"Colombia","1","0","0","1","5/May/2003","5/May/2003"
"Finland","1","0","0","1","7/May/2003","20/May/2003"
"France","7","0","1","6","9/May/2003","11/Jul/2003"
"Germany ","10","0","0","9","4/Jun/2003","23/Jun/2003"
"India","3","0","0","3","13/May/2003","14/May/2003"
"Indonesia","2","0","0","2","23/Apr/2003","19/Jun/2003"
"Italy","4","0","0","4","29/Apr/2003","8/Jul/2003"
"Kuwait","1","0","0","1","9/Apr/2003","20/Apr/2003"
"Malaysia","5","0","2","3","20/May/2003","4/Jul/2003"
"Mongolia","9","0","0","9","6/May/2003","2/Jun/2003"
"New Zealand","1","0","0","1","30/Apr/2003","25/Jun/2003"
"Philippines","14","0","2","12","15/May/2003","11/Jul/2003"
"Republic of Ireland","1","0","0","1","21/Mar/2003","12/Jun/2003"
"Republic of Korea","3","0","0","3","14/May/2003","2/Jul/2003"
"Romania","1","0","0","1","27/Mar/2003","22/Apr/2003"
"Russian Federation","1","0","0","0","31/May/2003","31/May/2003"
"Singapore ","206","0","32","172","18/May/2003","7/Jul/2003"
"South Africa","1","0","1","0","9/Apr/2003","3/May/2003"
"Spain","1","0","0","1","2/Apr/2003","5/Jun/2003"
"Sweden","3","0","0","3","18/Apr/2003","13/May/2003"
"Switzerland ","1","0","0","1","17/Mar/2003","16/May/2003"
"Thailand ","9","0","2","7","7/Jun/2003","1/Jul/2003"
"United Kingdom ","4","0","0","4","29/Apr/2003","30/Jun/2003"
"United States^7","75","0","0","67","23/Jun/2003","9/Jul/2003"
"Viet Nam","63","0","5","58","14/Apr/2003","7/Jun/2003"
"Total ","8437","0","813","7452","",""
