"","Cumulative number of cases","","","","","","",""
"Number of HCW affected (%)","Female","Number of HCW affected (%)","Number of HCW affected (%)","Number of HCW affected (%)","Number of HCW affected (%)","Number of HCW affected (%)","Number of HCW affected (%)","Number of HCW affected (%)"
"0 (0)","4","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)"
"109 (43) ","151","109 (43) ","109 (43) ","109 (43) ","109 (43) ","109 (43) ","109 (43) ","109 (43) "
"1002 (19)","2674","1002 (19)","1002 (19)","1002 (19)","1002 (19)","1002 (19)","1002 (19)","1002 (19)"
"386 (22)","977","386 (22)","386 (22)","386 (22)","386 (22)","386 (22)","386 (22)","386 (22)"
"0 (0)","0","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)"
"68 (20)","218","68 (20)","68 (20)","68 (20)","68 (20)","68 (20)","68 (20)","68 (20)"
"2  (29)^d","1","2  (29)^d","2  (29)^d","2  (29)^d","2  (29)^d","2  (29)^d","2  (29)^d","2  (29)^d"
"1 (11)","4","1 (11)","1 (11)","1 (11)","1 (11)","1 (11)","1 (11)","1 (11)"
"0 (0)","0","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)"
"0 (0)","0","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)"
"0 (0)","1","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)"
"0 (0)","1","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)"
"0 (0)","1","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)"
"0 (0)","8","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)"
"0 (0)","1","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)"
"4 (29)","8","4 (29)","4 (29)","4 (29)","4 (29)","4 (29)","4 (29)","4 (29)"
"0 (0)","0","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)"
"0 (0)","0","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)"
"0 (0)","0","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)"
"0 (0)","0","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)"
"97 (41)","161","97 (41)","97 (41)","97 (41)","97 (41)","97 (41)","97 (41)","97 (41)"
"0 (0)","0","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)"
"0 (0)","0","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)"
"0 (0)","3","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)"
"0 (0)","0","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)"
"1  (11)^d","5","1  (11)^d","1  (11)^d","1  (11)^d","1  (11)^d","1  (11)^d","1  (11)^d","1  (11)^d"
"0 (0)","2","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)"
"0 (0)","13","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)"
"36 (57)","39","36 (57)","36 (57)","36 (57)","36 (57)","36 (57)","36 (57)","36 (57)"
"","","","","","","","",""
"1706","","1706","1706","1706","1706","1706","1706","1706"
